template,pair_id,I_start,I_goal,fixed_tau0,fixed_success,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_reason,tau_star,tau_request,mm_success
culdesac,40,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,41,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,42,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,43,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,44,0.0,0.90859375,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,45,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,46,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,47,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,48,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,49,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,50,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,51,0.85,0.94375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.9453125,0.9553125,1
culdesac,52,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,53,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,54,0.90859375,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,55,0.85,0.9,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
culdesac,56,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,57,0.0,0.0,0.8,1,ok,1,NORMAL,0.8,0.0,ok,0.0,0.01,1
culdesac,58,0.0,0.0,0.8,1,ok,1,NORMAL,0.8,0.0,ok,0.0,0.01,1
culdesac,59,0.9,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
noisy_corridor,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
noisy_corridor,1,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
noisy_corridor,2,0.85,0.8996323529411765,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
noisy_corridor,3,0.8723214285714286,0.78,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
noisy_corridor,4,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
