template,pair_id,Seed,I_start,I_goal,tau0,success,reason,Policy,mode,tau_used,tau_gap,tau_star,tau_request,PolicyTemplate
bottleneck,8,1,0.0,0.0,0.8,0,no path under irreversibility constraint,fixed,,,,,,fixed__bottleneck
bottleneck,9,1,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,10,1,0.95,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,11,1,0.90859375,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,12,1,0.95,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,13,1,0.90859375,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,14,1,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,15,1,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,16,1,0.85,0.90859375,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,17,1,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,18,1,0.0,0.95,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,19,1,0.90859375,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,20,1,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,21,1,0.0,0.0,0.8,1,ok,fixed,,,,,,fixed__bottleneck
bottleneck,22,1,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,23,1,0.0,0.8723214285714286,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,24,1,0.85,0.95,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,25,1,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,26,1,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,27,1,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,28,1,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,29,1,0.0,0.85,0.8,0,goal violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,30,1,0.85,0.85,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
bottleneck,31,1,0.85,0.0,0.8,0,start violates irreversibility threshold,fixed,,,,,,fixed__bottleneck
