t,nis,ewma,cusum,alarm,safe_mode,vo_trust,lambda_eff,Seed
198.0,0.3094976355696966,2.0027952349321243,290.6355563631266,1.0,1.0,0.05,0.55,4
199.0,4.451358020835848,2.0517664906501984,294.5869143839625,1.0,1.0,0.05,0.55,4
200.0,5.2373482308262815,2.11547812545372,299.3242626147888,1.0,1.0,0.05,0.55,4
201.0,2.052778378466237,2.114224130513971,300.87704099325504,1.0,1.0,0.05,0.55,4
202.0,1.7696911826850776,2.107333471557393,302.1467321759401,1.0,1.0,0.05,0.55,4
203.0,4.946863749858215,2.164124077123409,306.5935959257983,1.0,1.0,0.05,0.55,4
204.0,0.425165442407794,2.129344904429097,306.51876136820607,1.0,1.0,0.05,0.55,4
205.0,2.1365337415333774,2.129488681171183,308.1552951097394,1.0,1.0,0.05,0.55,4
206.0,0.6114661176611657,2.0991282299009826,308.26676122740054,1.0,1.0,0.05,0.55,4
207.0,7.34879902061601,2.204121645715283,315.1155602480166,1.0,1.0,0.05,0.55,4
208.0,1.350229750250352,2.187043807805984,315.965789998267,1.0,1.0,0.05,0.55,4
209.0,1.3777529108425335,2.170857989866714,316.84354290910954,1.0,1.0,0.05,0.55,4
210.0,2.0077559424800238,2.1675959489189807,318.35129885158955,1.0,1.0,0.05,0.55,4
211.0,1.747832317510988,2.159200676290821,319.59913116910053,1.0,1.0,0.05,0.55,4
212.0,0.33294917157673476,2.122675646196539,319.43208034067726,1.0,1.0,0.05,0.55,4
213.0,2.827826958567731,2.136778672443963,321.759907299245,1.0,1.0,0.05,0.55,4
214.0,0.16297766876069336,2.0973026523702973,321.4228849680057,1.0,1.0,0.05,0.55,4
215.0,5.925894992086223,2.173874499164616,326.8487799600919,1.0,1.0,0.05,0.55,4
216.0,2.18708380656302,2.174138685312584,328.53586376665487,1.0,1.0,0.05,0.55,4
217.0,0.6634485931792768,2.1439248834699183,328.6993123598342,1.0,1.0,0.05,0.55,4
218.0,1.7076960338991547,2.135200306478503,329.9070083937333,1.0,1.0,0.05,0.55,4
219.0,1.0372237665055577,2.113240775679044,330.44423216023887,1.0,1.0,0.05,0.55,4
220.0,4.159666794555391,2.154169296056571,334.1038989547943,1.0,1.0,0.05,0.55,4
221.0,0.2237829076449465,2.115561568288338,333.82768186243925,1.0,1.0,0.05,0.55,4
222.0,0.7744946554648805,2.088740230031869,334.10217651790407,1.0,1.0,0.05,0.55,4
223.0,1.9091365957268247,2.0851481573457686,335.51131311363093,1.0,1.0,0.05,0.55,4
224.0,2.113489251446049,2.0857149792277743,337.1248023650769,1.0,1.0,0.05,0.55,4
225.0,0.5947681992681956,2.0558960436285822,337.21957056434513,1.0,1.0,0.05,0.55,4
226.0,2.784691351569881,2.0704719497874087,339.50426191591504,1.0,1.0,0.05,0.55,4
227.0,3.965028380164936,2.108363078394959,342.96929029608,1.0,1.0,0.05,0.55,4
228.0,8.75940318011828,2.241383880429425,351.22869347619826,1.0,1.0,0.05,0.55,4
229.0,0.4376408266914599,2.205309019354666,351.16633430288965,1.0,1.0,0.05,0.55,4
230.0,0.9746050262538452,2.1806949394926494,351.6409393291436,1.0,1.0,0.05,0.55,4
231.0,2.083736603538312,2.1787557727735622,353.22467593268186,1.0,1.0,0.05,0.55,4
232.0,1.0535631874096167,2.156251921066284,353.7782391200915,1.0,1.0,0.05,0.55,4
233.0,7.642492449508168,2.265976731635121,360.9207315695996,1.0,1.0,0.05,0.55,4
234.0,0.5101717335433131,2.2308606316732846,360.9309033031429,1.0,1.0,0.05,0.55,4
235.0,1.287612004001826,2.211995659119856,361.7185153071448,1.0,1.0,0.05,0.55,4
236.0,2.16221438811678,2.211000033699795,363.3807296952615,1.0,1.0,0.05,0.55,4
237.0,3.4330578103308804,2.235441189232416,366.3137875055924,1.0,1.0,0.05,0.55,4
238.0,5.0476036060391145,2.2916844375685494,370.86139111163146,1.0,1.0,0.05,0.55,4
239.0,2.816212840030662,2.302175005617792,373.1776039516621,1.0,1.0,0.05,0.55,4
240.0,0.4403543898549988,2.264938593302536,373.1179583415171,1.0,1.0,0.05,0.55,4
241.0,0.5774142431969186,2.2311881063004235,373.1953725847141,1.0,1.0,0.05,0.55,4
242.0,1.0126227924110105,2.206816800022635,373.70799537712503,1.0,1.0,0.05,0.55,4
243.0,0.3761834881301568,2.170204133784785,373.5841788652552,1.0,1.0,0.05,0.55,4
244.0,3.3022963009300703,2.192845977127691,376.3864751661853,1.0,1.0,0.05,0.55,4
245.0,1.1622900723029643,2.1722348590311964,377.0487652384882,1.0,1.0,0.05,0.55,4
246.0,0.12414764417841331,2.1312731147341406,376.6729128826667,1.0,1.0,0.05,0.55,4
247.0,4.829695097981082,2.1852415543990795,381.0026079806478,1.0,1.0,0.05,0.55,4
248.0,0.1672147685265487,2.144881018681629,380.66982274917433,1.0,1.0,0.05,0.55,4
249.0,0.4960591753834089,2.1119045818156645,380.66588192455777,1.0,1.0,0.05,0.55,4
0.0,0.07820283005166061,0.07820283005166061,0.0,0.0,0.0,1.0,0.2,5
1.0,1.8217806406449792,0.11307438626352696,1.321780640644979,0.0,0.0,1.0,0.2,5
2.0,2.1152084887812803,0.15311706831388203,2.9369891294262596,0.0,0.0,1.0,0.2,5
3.0,0.2260889679225065,0.15457650630605455,2.6630780973487655,0.0,0.0,1.0,0.2,5
4.0,0.9572494520056984,0.1706299652200474,3.1203275493544647,0.0,0.0,1.0,0.2,5
5.0,6.075812481097574,0.2887336155375979,8.696140030452039,0.0,0.0,1.0,0.2,5
6.0,7.317658366408181,0.4293121105550096,15.51379839686022,0.0,0.0,1.0,0.2,5
7.0,4.683472018816925,0.514395308720248,19.697270415677146,0.0,0.0,1.0,0.2,5
8.0,3.989761108619784,0.5839026247182385,23.187031524296927,0.0,0.0,1.0,0.2,5
9.0,3.839429603523139,0.6490131642943364,26.52646112782007,0.0,0.0,1.0,0.2,5
10.0,1.9507729729477468,0.6750483604674046,27.977234100767816,0.0,0.0,1.0,0.2,5
11.0,0.05206534009872743,0.662588700060031,27.529299440866545,0.0,0.0,1.0,0.2,5
12.0,0.2330729712158274,0.6539983854831469,27.262372412082367,0.0,0.0,1.0,0.2,5
13.0,1.4050091833507072,0.6690186014404982,28.16738159543308,0.0,0.0,1.0,0.2,5
14.0,1.7128720581264767,0.6898956705742177,29.38025365355956,0.0,0.0,1.0,0.2,5
15.0,0.1047816218168256,0.6781933895990697,28.985035275376383,0.0,0.0,1.0,0.2,5
16.0,1.1713593595388008,0.6880567089978644,29.656394634915184,0.0,0.0,1.0,0.2,5
17.0,0.1928006605547344,0.6781515880290018,29.34919529546992,0.0,0.0,1.0,0.2,5
18.0,3.3778778351041407,0.7321461129705047,32.22707313057406,0.0,0.0,1.0,0.2,5
19.0,0.40517187631859375,0.7256066282374662,32.132245006892646,0.0,0.0,1.0,0.2,5
20.0,2.12872879541732,0.7536690715810633,33.76097380230997,0.0,0.0,1.0,0.2,5
21.0,6.38649765103672,0.8663256431701764,39.64747145334669,0.0,0.0,1.0,0.2,5
22.0,1.7877291231287944,0.8847537127693487,40.93520057647548,0.0,0.0,1.0,0.2,5
23.0,0.070241976066768,0.8684634780352973,40.50544255254225,0.0,0.0,1.0,0.2,5
24.0,0.3378367371874757,0.8578509432183407,40.34327928972972,0.0,0.0,1.0,0.2,5
25.0,7.592943388220432,0.9925527921183824,47.43622267795016,0.0,0.0,1.0,0.2,5
