t,est_px,est_py,vo_nis,vo_trust,vo_infl,w_nis,w_trust,w_infl
1.230000000000000000e+02,1.256288861581501770e+01,6.115651988372079906e+00,2.421575980290897157e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.829710944553043728e+00,9.834183353365493208e-01,1.017391803837711439e+00
1.240000000000000000e+02,1.263671873039952054e+01,6.156600731078071931e+00,1.686122105731704401e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.790621182011453705e+00,9.839157852764528478e-01,1.016861252294809059e+00
1.250000000000000000e+02,1.274632527022043504e+01,6.205051212108910086e+00,3.427252784782071626e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.836645031583463705e-01,9.843983117181592801e-01,1.016347145725513323e+00
1.260000000000000000e+02,1.282424261732056614e+01,6.236440392773001662e+00,6.911183977742598739e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.947002105549794138e+00,9.848663623666145117e-01,1.015848958796576662e+00
1.270000000000000000e+02,1.291367009039081459e+01,6.319538791424701429e+00,1.483480271410069662e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.092606933616738552e+00,9.853203714956160209e-01,1.015366183892218332e+00
1.280000000000000000e+02,1.299322472331515321e+01,6.339411235302831571e+00,5.364877361313702409e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.426920352133651093e+00,9.857607603507475558e-01,1.014898330460885401e+00
1.290000000000000000e+02,1.311127206134884737e+01,6.420063200309210849e+00,3.092772741480040111e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.577384842706634593e+00,9.861879375402251569e-01,1.014444924389347635e+00
1.300000000000000000e+02,1.320179285237150246e+01,6.446594017731953841e+00,2.566375601303140463e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.748629437505827333e+00,9.866022994140184466e-01,1.014005507402803152e+00
1.310000000000000000e+02,1.332030877320843842e+01,6.494828095541267388e+00,2.570448376521287326e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.517119868509961833e+00,9.870042304315979065e-01,1.013579636489737590e+00
1.320000000000000000e+02,1.337558178288072952e+01,6.561090702297318167e+00,1.801974328665773672e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.129193728951701381e+01,9.607514459927600781e-01,1.013166883350357317e+00
1.330000000000000000e+02,1.350078681416412429e+01,6.604678507818025679e+00,7.239024537067535015e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.536157829385954798e+00,9.619289026129772546e-01,1.040851933318386768e+00
1.340000000000000000e+02,1.360711682165019454e+01,6.649060091675996986e+00,1.288571147581624166e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.511957823014650426e+00,9.630710355345879492e-01,1.039577870343230792e+00
1.350000000000000000e+02,1.371905953441013182e+01,6.690979320952473941e+00,3.555970662567411900e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.158215787085058679e+00,9.641789044685502574e-01,1.038345005822870926e+00
1.360000000000000000e+02,1.382912096213765452e+01,6.717489727163576951e+00,7.262822291229402705e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.623780370922915051e+00,9.652535373344937053e-01,1.037151917932900735e+00
